id,qid1,qid2,question1,question2,is_duplicate
1,1000,2000,Benefits of weight loss?,What are the advantages of weight loss?,0
2,1001,2001,Why is Java important?,Significance of Java?,1
3,1002,2002,What is the purpose of vaccination?,Why do we need vaccination?,0
4,1003,2003,How do I learn vaccination?,Best way to learn vaccination,1
5,1004,2004,What is the future of smartphones?,How will smartphones evolve?,1
6,1005,2005,How to use AI?,Steps to use AI,1
7,1006,2006,Why is electric cars important?,Significance of electric cars?,1
8,1007,2007,What is the purpose of machine learning?,Why do we need machine learning?,1
9,1008,2008,Drawbacks of Python?,Disadvantages of Python?,1
10,1009,2009,How to use AI?,Steps to use AI,1
11,1010,2010,What is Python?,Explain Python in simple terms,0
12,1011,2011,How to use Python?,Steps to use Python,1
13,1012,2012,Difference between vaccination and AI?,How does vaccination differ from AI?,1
14,1013,2013,What is vaccination?,Explain vaccination in simple terms,1
15,1014,2014,How to use cloud computing?,Steps to use cloud computing,1
16,1015,2015,What is the future of smartphones?,How will smartphones evolve?,0
17,1016,2016,Can I trust vaccination?,Is vaccination reliable?,1
18,1017,2017,What is AI?,Explain AI in simple terms,1
19,1018,2018,How do I learn smartphones?,Best way to learn smartphones,0
20,1019,2019,Difference between blockchain and Java?,How does blockchain differ from Java?,1
21,1020,2020,Drawbacks of smartphones?,Disadvantages of smartphones?,0
22,1021,2021,How do I learn weight loss?,Best way to learn weight loss,1
23,1022,2022,Benefits of Java?,What are the advantages of Java?,1
24,1023,2023,How to use smartphones?,Steps to use smartphones,1
25,1024,2024,Difference between AI and machine learning?,How does AI differ from machine learning?,1
26,1025,2025,What is the future of Java?,How will Java evolve?,0
27,1026,2026,Drawbacks of smartphones?,Disadvantages of smartphones?,0
28,1027,2027,Can I trust weight loss?,Is weight loss reliable?,1
29,1028,2028,Can I trust cloud computing?,Is cloud computing reliable?,1
30,1029,2029,What is the future of smartphones?,How will smartphones evolve?,1
31,1030,2030,How to use Python?,Steps to use Python,1
32,1031,2031,Drawbacks of machine learning?,Disadvantages of machine learning?,1
33,1032,2032,Drawbacks of electric cars?,Disadvantages of electric cars?,1
34,1033,2033,How do I learn smartphones?,Best way to learn smartphones,1
35,1034,2034,Drawbacks of weight loss?,Disadvantages of weight loss?,1
36,1035,2035,Why is machine learning important?,Significance of machine learning?,1
37,1036,2036,Drawbacks of Java?,Disadvantages of Java?,0
38,1037,2037,Difference between Python and machine learning?,How does Python differ from machine learning?,1
39,1038,2038,What is blockchain?,Explain blockchain in simple terms,1
40,1039,2039,What is AI?,Explain AI in simple terms,0
41,1040,2040,Difference between weight loss and blockchain?,How does weight loss differ from blockchain?,1
42,1041,2041,How to use machine learning?,Steps to use machine learning,1
43,1042,2042,What is the future of electric cars?,How will electric cars evolve?,1
44,1043,2043,What is the future of weight loss?,How will weight loss evolve?,1
45,1044,2044,Can I trust Python?,Is Python reliable?,1
46,1045,2045,Drawbacks of weight loss?,Disadvantages of weight loss?,0
47,1046,2046,Drawbacks of smartphones?,Disadvantages of smartphones?,1
48,1047,2047,What is the future of machine learning?,How will machine learning evolve?,0
49,1048,2048,What is the future of blockchain?,How will blockchain evolve?,0
50,1049,2049,Drawbacks of Python?,Disadvantages of Python?,1
51,1050,2050,Why is vaccination important?,Significance of vaccination?,0
52,1051,2051,What is the purpose of blockchain?,Why do we need blockchain?,1
53,1052,2052,Drawbacks of electric cars?,Disadvantages of electric cars?,0
54,1053,2053,What is blockchain?,Explain blockchain in simple terms,1
55,1054,2054,Drawbacks of machine learning?,Disadvantages of machine learning?,1
56,1055,2055,Benefits of cloud computing?,What are the advantages of cloud computing?,0
57,1056,2056,How do I learn electric cars?,Best way to learn electric cars,0
58,1057,2057,What is the future of electric cars?,How will electric cars evolve?,0
59,1058,2058,What is the future of smartphones?,How will smartphones evolve?,1
60,1059,2059,How do I learn AI?,Best way to learn AI,1
61,1060,2060,Why is weight loss important?,Significance of weight loss?,1
62,1061,2061,What is the future of cloud computing?,How will cloud computing evolve?,0
63,1062,2062,How do I learn cloud computing?,Best way to learn cloud computing,1
64,1063,2063,Benefits of blockchain?,What are the advantages of blockchain?,1
65,1064,2064,What is the future of weight loss?,How will weight loss evolve?,1
66,1065,2065,What is the purpose of smartphones?,Why do we need smartphones?,1
67,1066,2066,Drawbacks of weight loss?,Disadvantages of weight loss?,1
68,1067,2067,Benefits of vaccination?,What are the advantages of vaccination?,1
69,1068,2068,Difference between cloud computing and AI?,How does cloud computing differ from AI?,1
70,1069,2069,What is the purpose of cloud computing?,Why do we need cloud computing?,1
71,1070,2070,How to use AI?,Steps to use AI,1
72,1071,2071,Benefits of smartphones?,What are the advantages of smartphones?,1
73,1072,2072,What is the future of machine learning?,How will machine learning evolve?,0
74,1073,2073,Can I trust electric cars?,Is electric cars reliable?,1
75,1074,2074,Can I trust blockchain?,Is blockchain reliable?,1
76,1075,2075,How do I learn electric cars?,Best way to learn electric cars,1
77,1076,2076,How do I learn weight loss?,Best way to learn weight loss,1
78,1077,2077,What is the purpose of machine learning?,Why do we need machine learning?,0
79,1078,2078,How to use electric cars?,Steps to use electric cars,0
80,1079,2079,Difference between blockchain and smartphones?,How does blockchain differ from smartphones?,0
